gene_name,number_of_reads_mapped
suhB,3
yjaB_2,2
tatC,2
pta,2
plsY,2
folB,2
dnaB,2
zapA,1
yqjE,1
yhdT,1
ycdY,1
ybaN,1
ybaB,1
udp,1
udk_udk_1,1
truA,1
thiS,1
tatD_tatD_2,1
tatB,1
tatA,1
sucD,1
rpsJ,1
rpmF,1
rpmE,1
rplW,1
rplF,1
rplD,1
rnhA_rnhA_2_rnhA_1,1
rfaH,1
pdhR_2,1
O/O8-31-wzt/1-1215,1
O/O8-21-wzm/1-795,1
ompX_1,1
ompA,1
nudE,1
nei,1
msrB,1
mreD,1
moaE,1
moaC,1
moaB,1
manY,1
kdsB,1
iscR,1
ilvH,1
iclR,1
ibpB,1
ibpA,1
hemD,1
grpE_grpE_1_grpE_2,1
group_8044,1
group_7810,1
group_755,1
group_7046,1
group_4736,1
group_4687,1
group_4683,1
group_4205,1
group_1369,1
gntK,1
glcC,1
ftsL,1
erpA,1
dus,1
dnaQ,1
diaA,1
apt,1
acrZ,1
#rname,numreads
