gene_name,number_of_reads_mapped
rplL,4
mdh_2,4
iclR,4
can,4
ybgC,3
rplJ,3
nrdH,3
group_1656,3
cydX,3
uspA,2
tusE,2
tsaE,2
trxA_1,2
tatC,2
tatB,2
rpsS,2
rpsM,2
rpsK,2
O/O159-6-wzy/1-1015,2
napC,2
napB,2
manZ_1_manZ_2,2
manX_2,2
ilvH,2
hfq,2
hflC,2
group_755,2
group_747,2
group_7366,2
group_7046,2
group_334,2
group_2865,2
gntK,2
galS,2
cidA,2
cfa,2
bamD_bamD_1,2
ampD,2
zapA,1
yjcH,1
yjaB_2,1
yhdT,1
yhcB,1
ygjH,1
ygdR_1,1
ygaV,1
yehT_yehT_1,1
ycdY,1
uspD_uspD_1,1
uspB,1
udp,1
udk_udk_1,1
tusD,1
tusB,1
trpC_trpC_1,1
thiS,1
tatD_tatD_2,1
suhB,1
sucD,1
rsmE,1
rsmA,1
rpsT,1
rpsP,1
rpsL,1
rpsJ,1
rpsI,1
rpsG,1
rpsC,1
rpsB,1
rpmJ,1
rpmE,1
rplV,1
rplM,1
rplK,1
rplD,1
rplA,1
rmf,1
ribF,1
ribC,1
ribA,1
rfaH,1
pta,1
pldB_pldB_2,1
pdhR_2,1
pal,1
osmB,1
nuoI_2_nuoI_1,1
nuoH,1
nuoB,1
nudE,1
nsrR,1
nfuA,1
ndhC,1
nagB_1,1
nagA_1,1
minE,1
menA,1
manY,1
ispG_ispG_2,1
iscU,1
iscR,1
iscA_1,1
ihfB,1
htpX,1
hisM,1
group_8044,1
group_8038,1
group_800,1
group_799,1
group_78,1
group_7173,1
group_678,1
group_6151,1
group_568,1
group_519,1
group_4140,1
group_4003,1
group_3909,1
group_390,1
group_3752,1
group_3581,1
group_3296,1
group_2461,1
group_1743,1
group_1657,1
group_1184,1
group_1178,1
gcvH,1
fur,1
folE_folE_2,1
feoC,1
fdhD,1
fabA,1
exbD_2,1
erpA,1
engB,1
dus,1
dsrF,1
dsbE,1
dnaB,1
dksA,1
diaA,1
dgkA,1
ccmD,1
ccmC,1
baeR_baeR_2,1
argR,1
apaG,1
alaA,1
adk,1
#rname,numreads
